product_id,sku,product_name,category,brand,unit_price,unit_cost,created_at,is_active,deleted_at
1,SKU-658EDSCIEQ,Mares fashion RIYK,fashion,Mares,366.0,298.81,2023-05-03T23:21:51,1,
2,SKU-95TN2ARHRL,Pampa office 8YC6,office,Pampa,267.66,149.84,2025-12-15T19:19:38,1,
3,SKU-ROHVJGC8AF,Nova fashion CYPP,fashion,Nova,355.69,177.66,2023-11-22T13:00:06,1,
4,SKU-OZ7CD7BVY7,Luna beauty S0XB,beauty,Luna,465.84,370.57,2024-11-27T11:14:57,1,
5,SKU-0CT91BLCM5,Mares fashion RBI5,fashion,Mares,224.59,177.21,2023-04-24T13:48:01,1,
6,SKU-14C3L3SHYU,Senda electronics 231V,electronics,Senda,408.2,233.82,2025-01-16T07:41:50,1,
7,SKU-HEJ54E4CV7,Pampa beauty KEK0,beauty,Pampa,42.63,23.01,2023-10-04T18:42:17,1,
8,SKU-69JOQV4KRR,Andes books 62QZ,books,Andes,195.64,138.97,2025-09-06T09:35:57,1,
9,SKU-ZXIJEBBEM6,Mares books MYRD,books,Mares,16.79,10.19,2024-11-25T20:55:58,1,
10,SKU-5JSSQ4A45B,Pampa fashion Y7SN,fashion,Pampa,238.3,116.71,2023-05-09T11:47:56,1,
11,SKU-B7HMUR512I,Andes home 0M3D,home,Andes,102.87,49.54,2024-01-15T09:11:38,1,
12,SKU-NYEAUUAMIC,Andes toys 5V2V,toys,Andes,161.11,106.25,2024-09-18T05:57:03,1,
13,SKU-JIL7848BRF,Orion automotive OT8B,automotive,Orion,231.83,140.43,2024-10-04T03:37:40,1,
14,SKU-YN6WPSAYAL,Senda fashion QAKA,fashion,Senda,373.56,212.29,2024-11-10T10:43:54,1,
15,SKU-NA1EKS3ZRQ,Nexo office FM19,office,Nexo,163.55,76.4,2024-01-14T16:05:28,1,
16,SKU-59DX0ATW4B,Andes sports DU44,sports,Andes,410.71,252.17,2023-09-09T08:19:21,1,
17,SKU-3PUKDBT2CM,Mares electronics Q3ZX,electronics,Mares,263.02,173.77,2024-10-10T01:22:02,1,
18,SKU-SPAFQZIVLC,Orion home O414,home,Orion,480.58,320.89,2023-12-01T23:30:49,1,
19,SKU-HDTTI775IF,Nova office IW7K,office,Nova,172.35,119.57,2024-11-02T16:09:18,1,
20,SKU-R3XXPR380Z,Nexo sports HLFZ,sports,Nexo,294.67,190.31,2023-06-02T19:38:39,1,
21,SKU-XQFNR7ERPW,Nova grocery WS5N,grocery,Nova,407.34,244.19,2025-12-26T08:09:49,1,
22,SKU-JKVO5V4ZBL,Luna grocery 3IMM,grocery,Luna,271.88,210.5,2024-01-09T07:27:01,1,
23,SKU-0YQDE7XSGE,Orion beauty 2NHM,beauty,Orion,204.02,152.25,2024-01-08T02:52:26,1,
24,SKU-PMD6NEYIDG,Pampa books XHMW,books,Pampa,472.55,397.53,2024-12-09T07:30:37,1,
25,SKU-ZHUTKAOYRY,Pampa electronics HX92,electronics,Pampa,469.32,242.42,2023-08-23T23:09:47,1,
26,SKU-N8Q9RGJLUX,Senda toys HK70,toys,Senda,277.52,222.29,2025-03-21T20:20:19,1,
27,SKU-NEXVX5PH0Z,Nova fashion YL7I,fashion,Nova,146.31,123.19,2023-06-08T03:07:21,1,
28,SKU-R1QL5JLLIZ,Senda fashion 0600,fashion,Senda,70.25,37.42,2026-01-06T17:42:36,1,
29,SKU-AUO0R0DA7T,Mares grocery YKFN,grocery,Mares,359.63,278.29,2025-08-12T10:13:19,1,
30,SKU-RTVBM3OJS9,Nexo fashion MLPN,fashion,Nexo,317.71,163.06,2025-03-04T23:46:23,1,
31,SKU-316NSBGJSJ,Andes fashion LCYS,fashion,Andes,404.01,253.04,2025-01-27T01:58:40,0,2025-03-01T01:58:40
32,SKU-1YRS0JXEQZ,Senda books ZEQY,books,Senda,190.27,97.59,2023-07-05T16:41:10,1,
33,SKU-LVWDKCAYW6,Aurea books 0SRV,books,Aurea,163.95,80.86,2024-03-27T05:34:13,1,
34,SKU-6A0XKMS2MC,Nexo office ZQ4V,office,Nexo,458.0,295.71,2025-01-18T03:10:21,1,
35,SKU-68ZY55XMPC,Nova home 7KHW,home,Nova,289.78,246.06,2025-03-17T19:31:49,1,
36,SKU-1JV83NIM46,Aurea fashion OWX1,fashion,Aurea,112.16,94.17,2023-02-22T15:03:43,1,
37,SKU-HXNWHJOXJN,Aurea automotive OWUB,automotive,Aurea,137.4,100.4,2025-09-06T06:04:03,1,
38,SKU-YEOHEJQG6Y,Nova beauty BBOM,beauty,Nova,305.61,130.71,2025-04-20T19:23:44,1,
39,SKU-MECSIYHDA6,Luna books 30DN,books,Luna,283.49,220.14,2025-02-05T19:10:32,1,
40,SKU-34ZAMWABCN,Krypton fashion GM5R,fashion,Krypton,182.12,131.05,2025-05-09T02:30:45,1,
41,SKU-7Q753TCVYZ,Senda grocery 05NK,grocery,Senda,211.85,92.86,2024-08-11T08:57:44,1,
42,SKU-KT6XRVJC2H,Aurea grocery IFV5,grocery,Aurea,352.48,293.74,2025-05-31T05:03:16,1,
43,SKU-MYBJ1XSV7Z,Krypton toys R8YJ,toys,Krypton,385.74,214.7,2024-04-09T20:49:44,1,
44,SKU-7BM2TGI2UH,Luna office 98RV,office,Luna,24.93,21.05,2025-07-30T10:51:01,1,
45,SKU-FQ4WLYL9GL,Nexo toys X6NR,toys,Nexo,196.37,83.5,2025-09-01T01:37:15,0,2026-11-26T01:37:15
46,SKU-05TVE425FM,Orion automotive 6C8I,automotive,Orion,238.59,107.79,2023-11-24T21:22:34,1,
47,SKU-MEPVEGPSRL,Mares beauty J6NQ,beauty,Mares,201.53,159.53,2024-12-27T10:23:43,1,
48,SKU-P2V9D3QCG0,Mares automotive NFYU,automotive,Mares,90.31,48.29,2023-10-21T09:50:06,1,
49,SKU-D4KASJPDAV,Orion toys ZFMP,toys,Orion,465.32,376.1,2024-02-14T08:12:24,1,
50,SKU-BDIRBLZMQQ,Andes fashion 064A,fashion,Andes,194.21,139.43,2023-05-25T19:59:00,1,
51,SKU-5W4LBQ22D3,Mares home OY9R,home,Mares,92.63,46.83,2023-04-18T09:22:59,1,
52,SKU-HHS7W0EY8J,Mares grocery GLER,grocery,Mares,370.06,268.02,2024-06-02T08:02:58,1,
53,SKU-ZLJQGOL8E1,Krypton electronics W6SY,electronics,Krypton,143.34,119.78,2023-07-26T03:56:11,1,
54,SKU-FIISNB7CZD,Aurea electronics BDOP,electronics,Aurea,107.83,82.51,2023-09-28T13:08:56,1,
55,SKU-F5S7I43A1Y,Mares office 8O7M,office,Mares,412.61,280.83,2023-02-06T23:24:27,1,
56,SKU-JKK5DC1XB8,Krypton automotive NO9G,automotive,Krypton,339.87,195.57,2023-06-29T11:31:37,1,
57,SKU-USLXTQXD2H,Krypton beauty DUWP,beauty,Krypton,356.55,300.7,2025-09-23T01:55:04,1,
58,SKU-8T6CQGA0MI,Andes fashion AWMC,fashion,Andes,133.52,107.0,2023-02-21T14:55:22,1,
59,SKU-2Y9M6TYOP0,Andes home BKKG,home,Andes,461.9,240.05,2025-04-10T14:02:43,1,
60,SKU-OJK2Z9Y2E5,Pampa books UU6J,books,Pampa,30.01,22.82,2024-03-20T08:49:35,1,
